GYEAR,G_ID,PIT_ID,PCODE,T_ID,INN,HIT_VEL,HIT_ANG_VER,HIT_RESULT,PIT_VEL,STADIUM
2018,20180324HHWO0,180324_140436,62797,HH,1,131.5,42.7,플라이,149.59,고척
2018,20180324HHWO0,180324_140514,76753,HH,1,135.18,9.9,1루타,148.78,고척
2018,20180324HHWO0,180324_140647,71752,HH,1,152.41,2.1,1루타,148.59,고척
2018,20180324HHWO0,180324_140911,62700,HH,1,113.72,13.5,1루타,139.13,고척
2018,20180324HHWO0,180324_142050,68730,HH,2,54.11,16.4,번트안타,134.07,고척
2018,20180324HHWO0,180324_142310,78288,HH,2,161.9,3.5,1루타,145.75,고척
2018,20180324HHWO0,180324_142817,78756,HH,2,105.03,0.9,땅볼아웃,146,고척
2018,20180324HHWO0,180324_143122,74163,HH,2,115.52,26.6,플라이,122.82,고척
2018,20180324HHWO0,180324_143925,64300,WO,2,154.95,0.8,1루타,140.14,고척
2018,20180324HHWO0,180324_145047,79365,WO,2,127.35,61.1,플라이,149.84,고척
2018,20180324HHWO0,180324_145431,62797,HH,3,63.08,-34.8,땅볼아웃,145.41,고척
2018,20180324HHWO0,180324_145522,76753,HH,3,134.27,9.4,1루타,144.83,고척
2018,20180324HHWO0,180324_145647,71752,HH,3,155.49,21,1루타,144.87,고척
2018,20180324HHWO0,180324_145908,62700,HH,3,128.37,26.4,플라이,147.46,고척
2018,20180324HHWO0,180324_150124,78168,WO,3,139.38,-5.1,땅볼아웃,131.69,고척
2018,20180324HHWO0,180324_150409,76746,WO,3,165.04,20.3,홈런,140.05,고척
2018,20180324HHWO0,180324_150604,75125,WO,3,142.52,11.6,1루타,148.67,고척
2018,20180324HHWO0,180324_151831,61353,WO,4,116.31,17.6,1루타,130.88,고척
2018,20180324HHWO0,180324_152334,67341,WO,4,151.98,18.4,2루타,132.66,고척
2018,20180324HHWO0,180324_152722,79365,WO,4,133.26,15.3,1루타,149.3,고척
2018,20180324HHWO0,180324_152952,78168,WO,4,131.28,15.1,1루타,134.37,고척
2018,20180324HHWO0,180324_153838,75125,WO,4,155.11,-2.8,땅볼아웃,125,고척
2018,20180324HHWO0,180324_154150,64300,WO,4,119.63,38.6,플라이,137.25,고척
2018,20180324HHWO0,180324_154449,74163,HH,5,124.08,25.5,파울플라이,135.33,고척
2018,20180324HHWO0,180324_154534,62797,HH,5,133.33,3,1루타,145.83,고척
2018,20180324HHWO0,180324_155614,77564,WO,5,144.44,15.1,2루타,148.88,고척
2018,20180324HHWO0,180324_160026,67341,WO,5,141.49,23,플라이,141.79,고척
