GYEAR,PCODE,GAMENUM,PA,AB,BA,HIT,HR,TOTB,SLG,SF,BB,KK,IB,HP,GD
2020,50054,66,77,69,0.203,14,0,17,0.246,0,7,15,0,1,0
2020,50066,26,32,30,0.200,6,1,11,0.367,0,2,11,0,0,1
2020,50150,23,31,30,0.367,11,0,13,0.433,0,1,6,0,0,2
2020,50165,117,494,431,0.278,120,38,255,0.592,4,55,136,5,4,7
2020,50202,68,41,37,0.270,10,0,10,0.270,1,2,5,0,0,1
2020,50204,10,2,2,0.000,0,0,0,0.000,0,0,2,0,0,0
2020,50208,5,4,4,0.000,0,0,0,0.000,0,0,1,0,0,0
2020,50293,17,26,22,0.227,5,0,5,0.227,0,3,2,0,1,0
2020,50300,10,37,35,0.114,4,1,7,0.200,1,1,10,0,0,0
2020,50304,1,1,1,0.000,0,0,0,0.000,0,0,1,0,0,0
2020,50350,65,271,244,0.254,62,2,82,0.336,3,22,37,1,2,6
2020,50357,13,25,24,0.250,6,0,8,0.333,0,1,10,0,0,0
2020,50365,5,1,1,0.000,0,0,0,0.000,0,0,0,0,0,0
2020,50458,135,287,254,0.232,59,1,69,0.272,2,24,44,0,2,1
2020,50468,44,163,132,0.280,37,6,63,0.477,1,23,41,0,7,3
2020,50469,51,217,196,0.209,41,8,72,0.367,3,18,58,0,0,5
2020,50506,144,560,486,0.280,136,12,205,0.422,8,54,60,2,8,20
2020,50600,40,88,80,0.250,20,0,23,0.288,1,4,13,0,0,1
2020,50657,6,2,1,0.000,0,0,0,0.000,0,1,1,0,0,0
2020,50704,52,119,108,0.231,25,1,33,0.306,0,9,38,0,1,2
2020,50707,47,135,127,0.236,30,0,30,0.236,2,4,34,0,1,3
2020,50709,30,64,61,0.279,17,1,23,0.377,0,3,17,0,0,2
2020,50730,74,319,283,0.265,75,9,121,0.428,2,27,81,1,7,4
2020,50802,9,30,22,0.136,3,1,7,0.318,0,6,1,0,2,0
2020,50819,8,10,8,0.125,1,0,1,0.125,0,2,6,0,0,0
2020,50848,9,16,14,0.286,4,2,10,0.714,0,1,3,0,1,0
2020,50854,127,520,466,0.258,120,1,152,0.326,3,38,80,0,5,4
2020,50868,8,9,8,0.125,1,1,4,0.500,0,1,4,0,0,0
2020,50923,136,546,482,0.278,134,31,261,0.541,6,46,149,3,12,10
2020,50996,1,1,1,0.000,0,0,0,0.000,0,0,0,0,0,0
2020,60288,45,85,76,0.224,17,0,18,0.237,0,5,22,0,1,1
2020,60343,70,135,119,0.269,32,3,46,0.387,2,9,23,0,4,6
2020,60523,111,476,410,0.295,121,11,175,0.427,4,56,85,0,4,8
2020,60558,94,258,234,0.274,64,5,93,0.397,0,13,47,0,7,6
2020,60566,82,65,61,0.131,8,0,9,0.148,0,3,5,0,0,2
2020,61102,137,478,429,0.261,112,16,178,0.415,2,32,84,1,13,18
2020,61186,89,359,312,0.256,80,3,104,0.333,6,35,44,0,4,7
2020,61197,58,118,101,0.297,30,1,36,0.356,1,13,16,0,2,3
2020,61204,82,73,68,0.221,15,0,20,0.294,0,5,8,0,0,2
2020,61208,113,326,282,0.277,78,2,100,0.355,2,29,50,1,3,5
2020,61353,92,288,272,0.283,77,3,101,0.371,1,14,55,0,1,3
2020,61404,97,283,254,0.248,63,3,80,0.315,3,22,31,0,3,7
2020,61554,36,85,74,0.284,21,1,30,0.405,0,8,16,0,2,2
2020,61566,60,95,84,0.179,15,1,22,0.262,0,8,29,0,1,4
2020,61700,94,238,193,0.228,44,4,65,0.337,2,35,64,0,3,2
2020,61743,70,161,148,0.270,40,3,56,0.378,1,11,34,1,1,1
2020,61869,50,140,126,0.238,30,2,42,0.333,2,7,34,1,1,2
2020,62025,73,146,132,0.258,34,4,55,0.417,1,11,26,1,0,3
