,id,이름,시즌,포지션,나이,게임,타석,타수,득점,안타,2타,3타,홈런,루타,타점,볼넷,사구,고4,희타,희비,도루,도실,삼진,병살,타율,출루,장타,OPS,wOBA,wRC+,WAR+,WPA,타구속도,타구발사각,배럴개수,배럴비율
0,60100,백창수,2018,LF,30,70,169,152,21,37,15,1,3,63,18,12,4,0,0,1,0,0,36,5,0.243,0.314,0.414,0.728,0.324,79.1,-0.11,-0.47,133.44319587628866,26.60721649484536,13.0,0.13402061855670105
1,60184,김창혁,2018,C,27,6,10,10,1,2,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.5,0.218,12.5,-0.05,0.03,137.42857142857142,25.814285714285717,1.0,0.14285714285714285
3,60343,이해창,2018,C,31,83,174,162,19,35,4,0,8,63,24,8,3,0,1,0,0,3,49,3,0.216,0.266,0.389,0.655,0.292,54.5,-0.15,-0.69,132.0353271028038,22.157943925233642,14.0,0.1308411214953271
4,60456,백상원,2018,2B,30,4,8,6,1,3,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0.5,0.625,0.5,1.125,0.512,219.5,0.17,0.18,114.36666666666666,9.566666666666668,0.0,0.0
5,60523,정훈,2018,1B,30,91,194,174,33,53,10,1,7,86,26,16,1,1,0,3,4,2,39,4,0.305,0.361,0.494,0.855,0.373,110.7,0.91,-0.31,137.3921186440679,16.722881355932202,23.0,0.19491525423728812
6,60558,오태곤,2018,LF,26,128,374,342,55,87,17,2,12,144,39,24,4,0,3,1,13,8,92,7,0.254,0.31,0.421,0.731,0.325,76.5,-0.1,-0.03,128.67245370370372,13.920370370370382,26.0,0.12037037037037035
7,60566,이상호,2018,2B,29,114,204,187,32,47,2,0,0,49,8,8,2,0,7,0,13,5,15,8,0.251,0.289,0.262,0.5509999999999999,0.254,37.3,-0.73,-1.23,113.52496815286624,8.528662420382165,3.0,0.01910828025477707
8,60605,홍재호,2018,2B,31,56,87,76,16,20,6,0,1,29,9,8,0,0,3,0,0,0,12,2,0.263,0.333,0.382,0.7150000000000001,0.323,,0.1,-0.57,121.91285714285715,15.414285714285713,2.0,0.031746031746031744
10,61102,유강남,2018,C,25,132,465,425,53,126,33,0,19,216,66,28,9,1,2,1,0,0,80,21,0.296,0.352,0.508,0.86,0.378,118.7,3.68,-0.62,134.83221052631578,19.05263157894737,65.0,0.2280701754385965
11,61104,정병곤,2018,SS,30,6,16,15,1,1,0,0,0,1,2,0,0,0,0,1,0,0,5,1,0.067,0.062,0.067,0.129,0.056,-92.2,-0.33,-0.28,107.27,21.8125,0.0,0.0
12,61114,김재율,2018,1B,29,25,41,36,5,8,3,0,0,11,3,3,2,0,0,0,0,0,9,1,0.222,0.317,0.306,0.623,0.291,64.0,-0.09,-0.1,126.21363636363635,24.77272727272728,4.0,0.18181818181818185
13,61186,이천웅,2018,LF,29,112,405,359,61,122,22,3,2,156,39,39,3,2,2,2,10,10,48,11,0.34,0.407,0.435,0.842,0.376,119.7,2.41,1.65,128.73616935483872,9.21048387096774,19.0,0.07661290322580645
14,61197,최영진,2018,1B,30,61,140,126,13,37,7,0,4,56,18,10,0,0,2,2,2,4,30,6,0.294,0.341,0.444,0.785,0.347,92.3,0.19,-0.61,129.37512820512822,12.31025641025641,9.0,0.1153846153846154
15,61204,김동한,2018,3B,30,55,96,83,11,16,1,0,2,23,9,9,0,0,2,2,3,1,18,1,0.193,0.266,0.277,0.543,0.25,30.1,-0.57,-0.61,125.9210344827586,16.21379310344828,1.0,0.017241379310344827
16,61208,정진호,2018,RF,29,111,299,269,53,81,12,1,2,101,37,19,1,0,9,1,8,1,44,8,0.301,0.348,0.375,0.723,0.326,81.3,0.47,-0.84,126.69647058823544,9.275490196078435,12.0,0.05882352941176471
17,61353,고종욱,2018,LF,29,102,351,330,47,92,22,0,6,132,54,15,1,1,1,4,17,4,96,2,0.279,0.309,0.4,0.7090000000000001,0.312,74.1,-0.3,1.03,134.2881818181818,12.12139037433155,32.0,0.1711229946524064
18,61366,홍성갑,2018,LF,25,6,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,-130.7,-0.22,-0.35,147.95999999999995,8.475,2.0,0.5
19,61404,김헌곤,2018,LF,29,141,586,513,77,154,26,2,11,217,71,54,10,1,5,4,22,9,70,13,0.3,0.375,0.423,0.798,0.358,103.9,1.99,-0.57,127.44478021978027,13.067307692307686,24.0,0.06593406593406594
20,61554,김민하,2018,LF,29,59,108,97,13,21,4,0,3,34,17,5,3,0,2,1,5,5,30,6,0.216,0.274,0.351,0.625,0.281,46.9,-0.49,-1.25,134.4787234042553,14.104255319148931,7.0,0.14893617021276595
21,61566,허일,2018,RF,25,9,15,14,1,5,0,0,0,5,0,1,0,0,0,0,0,0,2,0,0.357,0.4,0.357,0.757,0.346,,0.06,-0.2,135.7388888888889,14.855555555555556,1.0,0.1111111111111111
22,61591,김사훈,2018,C,31,56,79,74,7,17,3,0,0,20,6,1,1,0,3,0,0,0,22,0,0.23,0.25,0.27,0.52,0.235,20.3,-0.38,-0.69,125.10804878048785,12.897560975609755,1.0,0.024390243902439025
23,61652,윤정우,2018,LF,30,22,43,40,6,10,2,0,1,15,2,2,1,0,0,0,2,1,7,4,0.25,0.302,0.375,0.677,0.305,,-0.02,-0.03,113.41548387096772,12.212903225806448,0.0,0.0
24,61700,강경학,2018,2B,25,77,289,245,42,68,11,1,5,96,27,38,4,0,1,1,6,3,59,7,0.278,0.382,0.392,0.774,0.353,101.4,1.38,0.77,128.66602836879434,13.102836879432626,14.0,0.09929078014184398
