,¼±¼ö,G,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2Å¸,3Å¸,È¨·±,·çÅ¸,Å¸Á¡,µµ·ç,µµ½Ç,º¼³Ý,»ç±¸,°í4,»ïÁø,º´»ì,ÈñÅ¸,Èñºñ,Å¸À²,Ãâ·ç,ÀåÅ¸,OPS,wOBA,wRC+,WAR+,WPA
0,·ÎÇÏ½º20KRF,140,618,542,114,189,39,1,46,368,132,0,1,63,5,5,130,10,0,8,.349,.416,.679,1.095,.466,180.3,7.62,7.22
1,±èÇÏ¼º19Å°SS,139,625,540,112,166,38,2,19,265,104,33,4,70,7,4,80,12,1,7,.307,.389,.491,.880,.397,145.7,7.17,4.52
2,±èÀçÈ¯18µÎLF,139,602,527,104,176,36,1,44,346,133,2,0,59,9,4,134,6,0,7,.334,.405,.657,1.062,.438,168.8,6.94,5.80
3,±èÇÏ¼º20Å°SS,136,612,525,110,161,24,1,29,274,105,23,2,74,8,3,68,12,2,3,.307,.398,.522,.920,.408,147.7,6.81,3.89
4,¾çÀÇÁö19NC,118,459,390,61,138,26,0,20,224,68,4,3,48,15,4,43,13,0,6,.354,.438,.574,1.012,.452,179.8,6.69,1.88
5,¹Úº´È£18³Ø1B,113,488,400,88,138,20,0,43,287,112,0,1,68,17,10,114,9,0,3,.345,.457,.718,1.175,.478,190.9,6.62,6.44
6,¾çÀÇÁö18µÎC,133,503,439,84,157,29,1,23,257,77,6,0,45,13,6,40,13,0,6,.358,.427,.585,1.013,.431,160.5,6.42,3.91
7,ÃÖÁ¤19S3B,141,606,503,86,147,27,0,29,261,99,3,2,69,26,6,92,4,0,8,.292,.399,.519,.918,.411,148.9,6.32,3.85
8,»÷Áî19Å°RF,139,613,525,100,160,39,1,28,285,113,1,2,77,6,1,101,17,0,5,.305,.396,.543,.939,.421,163.0,6.16,3.45
9,¾çÀÇÁö20NC,128,522,455,86,151,26,1,33,278,124,5,2,46,14,7,46,11,1,6,.332,.405,.611,1.016,.437,156.8,6.09,3.81
10,ÅÍÄ¿20KRF,142,631,542,100,166,40,0,32,302,113,0,2,76,9,3,67,12,0,4,.306,.398,.557,.955,.419,149.0,5.71,2.40
11,ÃÖÇü¿ì20KDH,140,600,522,93,185,37,1,28,308,115,0,0,70,5,5,101,9,0,3,.354,.433,.590,1.023,.450,168.6,5.71,7.20
12,ÀÌÁ¤ÈÄ20Å°RF,138,607,536,84,179,48,5,15,282,100,12,2,58,4,5,47,16,2,7,.334,.398,.526,.925,.408,145.2,5.68,3.98
13,ÀüÁØ¿ì18·ÔLF,144,614,556,118,190,36,2,33,329,90,7,7,48,7,1,82,12,1,2,.342,.400,.592,.991,.421,146.3,5.67,5.45
14,·ÎÇÏ½º18KCF,144,645,564,114,172,30,1,43,333,114,18,13,71,7,4,142,10,1,2,.305,.388,.590,.979,.410,138.5,5.66,5.41
15,·ÎÇÏ½º19KCF,142,576,520,68,167,29,3,24,274,104,4,4,48,3,5,120,4,0,5,.321,.379,.527,.905,.405,151.3,5.49,1.20
16,¹Úº´È£19Å°1B,122,532,432,92,121,22,0,33,242,98,0,1,78,13,5,117,7,0,9,.280,.399,.560,.959,.422,165.8,5.46,2.21
17,¼Õ¾Æ¼·18·ÔRF,141,625,553,109,182,32,5,26,302,93,20,3,68,2,1,99,15,1,1,.329,.404,.546,.950,.409,138.6,5.30,4.35
18,°­¹éÈ£21K1B,102,448,369,57,138,31,1,14,213,86,7,3,71,0,8,65,5,0,8,.374,.467,.577,1.044,.468,179.8,5.29,4.82
19,·¯ÇÁ18»ï1B,137,597,506,97,167,32,4,33,306,125,5,3,65,18,0,107,17,0,8,.330,.419,.605,1.024,.432,152.9,5.28,5.89
20,±èÇö¼ö20LLF,140,610,538,97,178,34,2,22,282,117,0,2,63,2,7,53,9,0,7,.331,.398,.524,.923,.408,148.8,5.24,5.06
21,Æä¸£³­µ¥½º19µÎDH,144,645,572,87,197,34,0,15,276,88,1,2,61,6,4,54,16,0,6,.344,.409,.483,.892,.408,154.7,5.10,3.32
22,È²Àç±Õ20K3B,132,591,535,105,166,34,5,21,273,95,11,6,47,4,0,98,12,2,3,.310,.368,.510,.879,.390,129.3,5.06,3.56
23,È«Ã¢±â21LCF,101,459,366,73,119,18,2,4,153,40,17,7,80,12,3,62,5,0,1,.325,.460,.418,.878,.422,155.5,5.04,3.32
24,¾ÈÄ¡È«18K2B,130,549,494,88,169,38,1,23,278,118,5,1,36,10,1,57,13,0,9,.342,.392,.563,.954,.407,140.3,4.98,4.06
25,ÃÖÇü¿ì18KLF,143,609,528,92,179,34,1,25,290,103,3,0,66,7,7,87,17,0,8,.339,.414,.549,.963,.411,143.4,4.94,5.70
26,³ª¼º¹ü20NDH,128,576,519,114,168,36,2,33,307,107,3,1,47,9,2,147,6,0,1,.324,.389,.592,.980,.428,150.9,4.94,3.86
27,¼Õ¾Æ¼·20·ÔRF,141,611,540,98,190,43,0,11,266,85,5,0,61,2,4,56,9,1,7,.352,.415,.493,.907,.409,140.0,4.93,4.57
28,ÀÌÁ¤ÈÄ19Å°LF,140,630,574,91,193,31,10,6,262,68,13,7,45,4,0,40,15,3,4,.336,.386,.456,.842,.386,135.1,4.88,1.39
29,ÀÌÁ¤ÈÄ21Å°CF,87,388,326,60,118,33,4,4,171,56,6,3,52,4,1,25,7,0,6,.362,.449,.525,.973,.447,167.4,4.84,2.41
30,±èÇö¼ö18LLF,117,511,453,95,164,39,2,20,267,101,1,3,47,1,6,61,9,0,10,.362,.415,.589,1.004,.424,155.2,4.79,4.23
31,·Î¸Æ18S1B,141,616,528,102,167,19,0,43,315,107,10,5,72,10,0,123,7,0,6,.316,.404,.597,1.001,.422,144.1,4.78,3.95
32,ÃÖÁ¤20S3B,131,544,444,89,119,22,0,32,237,93,8,3,75,19,1,97,7,0,6,.268,.392,.534,.925,.408,137.6,4.77,4.57
33,°­¹éÈ£19KRF,117,504,437,72,147,29,1,13,217,65,9,5,61,2,4,87,11,0,4,.336,.417,.497,.913,.415,157.4,4.74,3.83
34,Ã¤Àº¼º18LRF,139,578,529,78,175,36,2,25,290,119,3,1,35,9,1,97,12,0,5,.331,.379,.548,.927,.396,137.5,4.73,3.44
35,¹Ú¹Î¿ì19N2B,125,526,468,89,161,23,8,1,203,45,18,7,41,9,1,40,10,2,6,.344,.403,.434,.836,.387,135.8,4.72,1.68
36,¾çÀÇÁö21NDH,99,408,345,63,116,24,1,23,211,85,2,1,51,8,3,42,8,0,4,.336,.429,.612,1.041,.462,175.8,4.70,5.54
37,°­¹éÈ£20K1B,127,565,492,92,162,36,1,23,269,88,7,2,65,5,9,92,7,0,3,.329,.411,.547,.957,.421,149.7,4.69,3.21
38,¹Ú°Ç¿ì19µÎRF,127,537,458,83,146,27,5,10,213,64,12,3,60,7,0,57,23,1,11,.319,.397,.465,.863,.394,144.3,4.68,0.91
39,ÃÖÁÖÈ¯18µÎDH,138,590,519,87,173,39,6,26,302,108,1,0,51,10,1,89,5,0,10,.333,.397,.582,.979,.413,148.6,4.66,3.90
40,ÃÖÁ¤21S3B,100,408,322,71,91,14,1,27,188,78,8,4,58,18,1,72,6,1,9,.283,.410,.584,.994,.438,158.9,4.63,4.79
41,¹ö³ªµð³ª18KCF,131,590,513,106,159,25,3,20,250,70,32,13,63,10,3,103,9,3,1,.310,.395,.487,.883,.385,125.4,4.55,3.55
42,³ª¼º¹ü18NRF,144,620,556,110,177,36,3,23,288,91,15,2,44,15,4,131,11,0,5,.318,.381,.518,.899,.387,126.6,4.51,4.73
43,¹Ú¹Î¿ì20N2B,124,523,461,81,160,27,5,8,221,62,13,6,36,15,2,48,12,2,9,.347,.405,.479,.884,.399,133.8,4.48,1.47
